"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.78910880,93.406,0.651,2848.150936
2456971.78912037,93.557,0.639,2849.398897
2456971.78913194,93.708,0.627,2850.662695
2456971.78914352,93.859,0.615,2851.942306
2456971.78915509,94.009,0.602,2853.237715
2456971.78916667,94.160,0.590,2854.548893
2456971.78917824,94.310,0.578,2855.875824
2456971.78918981,94.460,0.565,2857.218479
2456971.78920139,94.610,0.552,2858.576842
2456971.78921296,94.760,0.539,2859.950886
2456971.78922454,94.910,0.526,2861.340585
2456971.78923611,95.059,0.513,2862.745922
2456971.78924769,95.209,0.500,2864.166866
2456971.78925926,95.358,0.486,2865.603401
2456971.78927083,95.507,0.473,2867.055495
2456971.78928241,95.656,0.459,2868.523131
2456971.78929398,95.805,0.445,2870.006278
2456971.78930556,95.953,0.431,2871.504916
2456971.78931713,96.102,0.417,2873.019015
2456971.78932870,96.250,0.403,2874.548556
2456971.78934028,96.398,0.388,2876.093506
2456971.78935185,96.546,0.374,2877.653847
2456971.78936343,96.694,0.359,2879.229546
2456971.78937500,96.842,0.344,2880.820584
2456971.78938657,96.990,0.329,2882.426927
2456971.78939815,97.137,0.314,2884.048556
2456971.78940972,97.284,0.299,2885.685437
2456971.78942130,97.431,0.284,2887.337547
2456971.78943287,97.578,0.268,2889.004862
2456971.78944444,97.725,0.253,2890.687347
2456971.78945602,97.871,0.237,2892.384983
2456971.78946759,98.018,0.221,2894.097734
2456971.78947917,98.164,0.205,2895.825580
2456971.78949074,98.310,0.189,2897.568485
2456971.78950231,98.456,0.173,2899.326424
2456971.78951389,98.602,0.156,2901.099373
2456971.78952546,98.747,0.140,2902.887296
2456971.78953704,98.893,0.123,2904.690172
2456971.78954861,99.038,0.107,2906.507963
2456971.78956019,99.183,0.090,2908.340645
2456971.78957176,99.328,0.073,2910.188191
2456971.78958333,99.472,0.056,2912.050566
2456971.78959491,99.617,0.039,2913.927745
2456971.78960648,99.761,0.021,2915.819693
2456971.78961806,99.905,0.004,2917.726384
2456971.78962064,99.937,0.000,2918.154726
2456971.85153446,19.036,0.000,2935.839767
2456971.85153935,19.052,0.026,2933.005547
2456971.85155093,19.089,0.086,2926.300936
2456971.85156250,19.127,0.146,2919.597117
2456971.85157407,19.165,0.206,2912.894104
2456971.85158565,19.203,0.266,2906.191911
2456971.85159722,19.241,0.327,2899.490551
2456971.85160880,19.280,0.387,2892.790038
2456971.85162037,19.318,0.448,2886.090387
2456971.85163194,19.357,0.509,2879.391612
2456971.85164352,19.396,0.570,2872.693728
2456971.85165509,19.435,0.631,2865.996748
2456971.85166667,19.474,0.693,2859.300687
2456971.85167824,19.513,0.754,2852.605561
2456971.85168981,19.553,0.816,2845.911385
2456971.85170139,19.593,0.877,2839.218172
2456971.85171296,19.632,0.939,2832.525937
2456971.85172454,19.672,1.001,2825.834698
2456971.85173611,19.713,1.063,2819.144469
2456971.85174769,19.753,1.126,2812.455264
2456971.85175926,19.794,1.188,2805.767100
2456971.85177083,19.834,1.251,2799.079993
2456971.85178241,19.875,1.314,2792.393959
2456971.85179398,19.916,1.376,2785.709013
2456971.85180556,19.958,1.439,2779.025171
2456971.85181713,19.999,1.503,2772.342449
2456971.85182870,20.041,1.566,2765.660865
2456971.85184028,20.082,1.629,2758.980436
2456971.85185185,20.124,1.693,2752.301176
2456971.85186343,20.167,1.757,2745.623103
2456971.85187500,20.209,1.821,2738.946234
2456971.85188657,20.252,1.885,2732.270588
2456971.85189815,20.294,1.949,2725.596179
2456971.85190972,20.337,2.014,2718.923025
2456971.85192130,20.380,2.078,2712.251145
2456971.85193287,20.424,2.143,2705.580556
2456971.85194444,20.467,2.208,2698.911278
2456971.85195602,20.511,2.273,2692.243324
2456971.85196759,20.555,2.338,2685.576716
2456971.85197917,20.599,2.404,2678.911471
2456971.85199074,20.644,2.469,2672.247610
2456971.85200231,20.688,2.535,2665.585147
2456971.85201389,20.733,2.601,2658.924104
2456971.85202546,20.778,2.667,2652.264499
2456971.85203704,20.823,2.733,2645.606351
2456971.85204861,20.868,2.800,2638.949681
2456971.85206019,20.914,2.866,2632.294505
2456971.85207176,20.960,2.933,2625.640846
2456971.85208333,21.006,3.000,2618.988722
2456971.85209491,21.052,3.067,2612.338154
2456971.85210648,21.099,3.134,2605.689161
2456971.85211806,21.145,3.202,2599.041764
2456971.85212963,21.192,3.270,2592.395984
2456971.85214120,21.239,3.337,2585.751840
2456971.85215278,21.287,3.405,2579.109356
2456971.85216435,21.334,3.474,2572.468551
2456971.85217593,21.382,3.542,2565.829445
2456971.85218750,21.430,3.611,2559.192062
2456971.85219907,21.479,3.679,2552.556424
2456971.85221065,21.527,3.748,2545.922550
2456971.85222222,21.576,3.818,2539.290463
2456971.85223380,21.625,3.887,2532.660187
2456971.85224537,21.674,3.956,2526.031743
2456971.85225694,21.724,4.026,2519.405156
2456971.85226852,21.774,4.096,2512.780445
2456971.85228009,21.824,4.166,2506.157636
2456971.85229167,21.874,4.237,2499.536751
2456971.85230324,21.925,4.307,2492.917814
2456971.85231481,21.975,4.378,2486.300851
2456971.85232639,22.026,4.449,2479.685883
2456971.85233796,22.078,4.520,2473.072934
2456971.85234954,22.129,4.591,2466.462031
2456971.85236111,22.181,4.663,2459.853197
2456971.85237269,22.233,4.735,2453.246459
2456971.85238426,22.286,4.807,2446.641839
2456971.85239583,22.338,4.879,2440.039364
2456971.85240741,22.391,4.951,2433.439060
2456971.85241898,22.444,5.024,2426.840952
2456971.85243056,22.498,5.097,2420.245069
2456971.85244213,22.552,5.170,2413.651435
2456971.85245370,22.606,5.243,2407.060076
2456971.85246528,22.660,5.316,2400.471020
2456971.85247685,22.715,5.390,2393.884294
2456971.85248843,22.770,5.464,2387.299928
2456971.85250000,22.825,5.538,2380.717946
2456971.85251157,22.880,5.613,2374.138378
2456971.85252315,22.936,5.687,2367.561252
2456971.85253472,22.992,5.762,2360.986596
2456971.85254630,23.049,5.837,2354.414441
2456971.85255787,23.106,5.913,2347.844814
2456971.85256944,23.163,5.988,2341.277745
2456971.85258102,23.220,6.064,2334.713264
2456971.85259259,23.278,6.140,2328.151401
2456971.85260417,23.336,6.216,2321.592189
2456971.85261574,23.394,6.293,2315.035654
2456971.85262731,23.453,6.370,2308.481829
2456971.85263889,23.512,6.447,2301.930747
2456971.85265046,23.571,6.524,2295.382437
2456971.85266204,23.631,6.602,2288.836935
2456971.85267361,23.691,6.679,2282.294268
2456971.85268519,23.751,6.757,2275.754472
2456971.85269676,23.812,6.836,2269.217580
2456971.85270833,23.873,6.914,2262.683624
2456971.85271991,23.934,6.993,2256.152639
2456971.85273148,23.996,7.072,2249.624660
2456971.85274306,24.058,7.152,2243.099718
2456971.85275463,24.120,7.231,2236.577850
2456971.85276620,24.183,7.311,2230.059091
2456971.85277778,24.246,7.391,2223.543476
2456971.85278935,24.310,7.472,2217.031041
2456971.85280093,24.374,7.552,2210.521825
2456971.85281250,24.438,7.633,2204.015860
2456971.85282407,24.503,7.715,2197.513186
2456971.85283565,24.568,7.796,2191.013840
2456971.85284722,24.633,7.878,2184.517859
2456971.85285880,24.699,7.960,2178.025282
2456971.85287037,24.766,8.042,2171.536149
2456971.85288194,24.832,8.125,2165.050497
2456971.85289352,24.899,8.208,2158.568365
