"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.47980324,249.510,2.242,2764.368545
2456971.47981481,249.655,2.268,2761.679958
2456971.47982639,249.800,2.295,2759.005671
2456971.47983796,249.946,2.322,2756.345729
2456971.47984954,250.092,2.348,2753.700175
2456971.47986111,250.238,2.374,2751.069057
2456971.47987269,250.384,2.401,2748.452410
2456971.47988426,250.531,2.427,2745.850282
2456971.47989583,250.678,2.453,2743.262717
2456971.47990741,250.825,2.478,2740.689758
2456971.47991898,250.972,2.504,2738.131448
2456971.47993056,251.120,2.530,2735.587830
2456971.47994213,251.268,2.555,2733.058950
2456971.47995370,251.417,2.581,2730.544846
2456971.47996528,251.565,2.606,2728.045562
2456971.47997685,251.714,2.631,2725.561143
2456971.47998843,251.863,2.656,2723.091630
2456971.48000000,252.013,2.681,2720.637066
2456971.48001157,252.162,2.706,2718.197497
2456971.48002315,252.312,2.730,2715.772958
2456971.48003472,252.462,2.755,2713.363496
2456971.48004630,252.613,2.779,2710.969152
2456971.48005787,252.764,2.803,2708.589967
2456971.48006944,252.915,2.828,2706.225988
2456971.48008102,253.066,2.852,2703.877250
2456971.48009259,253.217,2.875,2701.543796
2456971.48010417,253.369,2.899,2699.225670
2456971.48011574,253.521,2.923,2696.922911
2456971.48012731,253.674,2.946,2694.635565
2456971.48013889,253.826,2.969,2692.363665
2456971.48015046,253.979,2.993,2690.107257
2456971.48016204,254.132,3.016,2687.866380
2456971.48017361,254.286,3.039,2685.641079
2456971.48018519,254.439,3.061,2683.431387
2456971.48019676,254.593,3.084,2681.237348
2456971.48020833,254.747,3.107,2679.059002
2456971.48021991,254.902,3.129,2676.896392
2456971.48023148,255.056,3.151,2674.749552
2456971.48024306,255.211,3.173,2672.618524
2456971.48025463,255.366,3.195,2670.503351
2456971.48026620,255.522,3.217,2668.404066
2456971.48027778,255.677,3.239,2666.320710
2456971.48028935,255.833,3.260,2664.253324
2456971.48030093,255.989,3.282,2662.201948
2456971.48031250,256.146,3.303,2660.166615
2456971.48032407,256.302,3.324,2658.147367
2456971.48033565,256.459,3.345,2656.144244
2456971.48034722,256.616,3.366,2654.157278
2456971.48035880,256.773,3.386,2652.186510
2456971.48037037,256.931,3.407,2650.231981
2456971.48038194,257.089,3.427,2648.293722
2456971.48039352,257.247,3.447,2646.371772
2456971.48040509,257.405,3.467,2644.466173
2456971.48041667,257.563,3.487,2642.576954
2456971.48042824,257.722,3.507,2640.704158
2456971.48043981,257.881,3.526,2638.847815
2456971.48045139,258.040,3.546,2637.007963
2456971.48046296,258.200,3.565,2635.184643
2456971.48047454,258.359,3.584,2633.377883
2456971.48048611,258.519,3.603,2631.587725
2456971.48049769,258.679,3.622,2629.814197
2456971.48050926,258.839,3.640,2628.057338
2456971.48052083,259.000,3.659,2626.317185
2456971.48053241,259.161,3.677,2624.593767
2456971.48054398,259.321,3.695,2622.887123
2456971.48055556,259.483,3.713,2621.197281
2456971.48056713,259.644,3.731,2619.524277
2456971.48057870,259.805,3.749,2617.868150
2456971.48059028,259.967,3.766,2616.228924
2456971.48060185,260.129,3.784,2614.606639
2456971.48061343,260.291,3.801,2613.001321
2456971.48062500,260.454,3.818,2611.413010
2456971.48063657,260.616,3.835,2609.841729
2456971.48064815,260.779,3.851,2608.287519
2456971.48065972,260.942,3.868,2606.750402
2456971.48067130,261.105,3.884,2605.230418
2456971.48068287,261.268,3.900,2603.727590
2456971.48069444,261.432,3.916,2602.241956
2456971.48070602,261.596,3.932,2600.773539
2456971.48071759,261.760,3.948,2599.322375
2456971.48072917,261.924,3.963,2597.888488
2456971.48074074,262.088,3.978,2596.471915
2456971.48075231,262.252,3.993,2595.072676
2456971.48076389,262.417,4.008,2593.690808
2456971.48077546,262.582,4.023,2592.326332
2456971.48078704,262.747,4.038,2590.979283
2456971.48079861,262.912,4.052,2589.649683
2456971.48081019,263.077,4.066,2588.337565
2456971.48082176,263.243,4.080,2587.042954
2456971.48083333,263.408,4.094,2585.765873
2456971.48084491,263.574,4.108,2584.506354
2456971.48085648,263.740,4.122,2583.264419
2456971.48086806,263.906,4.135,2582.040098
2456971.48087963,264.073,4.148,2580.833416
2456971.48089120,264.239,4.161,2579.644392
2456971.48090278,264.406,4.174,2578.473059
2456971.48091435,264.573,4.186,2577.319435
2456971.48092593,264.740,4.199,2576.183551
2456971.48093750,264.907,4.211,2575.065427
2456971.48094907,265.074,4.223,2573.965083
2456971.48096065,265.241,4.235,2572.882549
2456971.48097222,265.409,4.247,2571.817842
2456971.48098380,265.576,4.258,2570.770990
2456971.48099537,265.744,4.270,2569.742013
2456971.48100694,265.912,4.281,2568.730928
2456971.48101852,266.080,4.292,2567.737764
2456971.48103009,266.248,4.302,2566.762538
2456971.48104167,266.417,4.313,2565.805268
2456971.48105324,266.585,4.323,2564.865980
2456971.48106481,266.754,4.334,2563.944692
2456971.48107639,266.923,4.344,2563.041423
2456971.48108796,267.091,4.354,2562.156188
2456971.48109954,267.260,4.363,2561.289013
2456971.48111111,267.429,4.373,2560.439914
2456971.48112269,267.599,4.382,2559.608904
2456971.48113426,267.768,4.391,2558.796009
2456971.48114583,267.937,4.400,2558.001242
2456971.48115741,268.107,4.408,2557.224620
2456971.48116898,268.276,4.417,2556.466156
2456971.48118056,268.446,4.425,2555.725874
2456971.48119213,268.616,4.433,2555.003785
2456971.48120370,268.786,4.441,2554.299904
2456971.48121528,268.956,4.449,2553.614245
2456971.48122685,269.126,4.456,2552.946826
2456971.48123843,269.296,4.464,2552.297661
2456971.48125000,269.466,4.471,2551.666761
2456971.48126157,269.637,4.478,2551.054138
2456971.48127315,269.807,4.485,2550.459811
2456971.48128472,269.977,4.491,2549.883789
2456971.48129630,270.148,4.497,2549.326084
2456971.48130787,270.319,4.504,2548.786708
2456971.48131944,270.489,4.510,2548.265672
2456971.48133102,270.660,4.515,2547.762985
2456971.48134259,270.831,4.521,2547.278662
2456971.48135417,271.002,4.526,2546.812712
2456971.48136574,271.173,4.531,2546.365143
2456971.48137731,271.344,4.536,2545.935965
2456971.48138889,271.515,4.541,2545.525187
2456971.48140046,271.686,4.546,2545.132814
2456971.48141204,271.858,4.550,2544.758861
2456971.48142361,272.029,4.554,2544.403331
2456971.48143519,272.200,4.558,2544.066233
2456971.48144676,272.372,4.562,2543.747573
2456971.48145833,272.543,4.565,2543.447357
2456971.48146991,272.714,4.569,2543.165591
2456971.48148148,272.886,4.572,2542.902281
2456971.48149306,273.057,4.575,2542.657433
2456971.48150463,273.229,4.578,2542.431050
2456971.48151620,273.401,4.580,2542.223133
2456971.48152778,273.572,4.583,2542.033694
2456971.48153935,273.744,4.585,2541.862732
2456971.48155093,273.915,4.587,2541.710250
2456971.48156250,274.087,4.589,2541.576252
2456971.48157407,274.259,4.590,2541.460738
2456971.48158565,274.431,4.591,2541.363711
2456971.48159722,274.602,4.593,2541.285172
2456971.48160880,274.774,4.594,2541.225123
2456971.48162037,274.946,4.594,2541.183562
2456971.48163194,275.117,4.595,2541.160491
2456971.48164352,275.289,4.595,2541.155910
2456971.48165509,275.461,4.595,2541.169816
2456971.48166667,275.633,4.595,2541.202210
2456971.48167824,275.804,4.595,2541.253089
2456971.48168981,275.976,4.595,2541.322452
2456971.48170139,276.148,4.594,2541.410295
2456971.48171296,276.320,4.593,2541.516617
2456971.48172454,276.491,4.592,2541.641413
2456971.48173611,276.663,4.591,2541.784680
2456971.48174769,276.835,4.589,2541.946413
2456971.48175926,277.006,4.588,2542.126609
2456971.48177083,277.178,4.586,2542.325261
2456971.48178241,277.349,4.584,2542.542365
2456971.48179398,277.521,4.582,2542.777918
2456971.48180556,277.692,4.579,2543.031907
2456971.48181713,277.864,4.576,2543.304329
2456971.48182870,278.035,4.574,2543.595176
