"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.51775463,319.910,21.140,1474.052402
2456971.51776620,319.626,21.211,1471.166450
2456971.51777778,319.341,21.281,1468.310455
2456971.51778935,319.055,21.351,1465.484595
2456971.51780093,318.767,21.420,1462.689049
2456971.51781250,318.477,21.489,1459.923992
2456971.51782407,318.187,21.557,1457.189605
2456971.51783565,317.895,21.625,1454.486058
2456971.51784722,317.602,21.692,1451.813528
2456971.51785880,317.307,21.759,1449.172191
2456971.51787037,317.011,21.825,1446.562220
2456971.51788194,316.713,21.890,1443.983787
2456971.51789352,316.415,21.955,1441.437065
2456971.51790509,316.114,22.019,1438.922225
2456971.51791667,315.813,22.083,1436.439439
2456971.51792824,315.510,22.146,1433.988872
2456971.51793981,315.206,22.208,1431.570694
2456971.51795139,314.901,22.270,1429.185072
2456971.51796296,314.594,22.331,1426.832172
2456971.51797454,314.286,22.392,1424.512160
2456971.51798611,313.977,22.451,1422.225196
2456971.51799769,313.666,22.510,1419.971444
2456971.51800926,313.355,22.568,1417.751065
2456971.51802083,313.042,22.626,1415.564219
2456971.51803241,312.727,22.683,1413.411062
2456971.51804398,312.412,22.739,1411.291750
2456971.51805556,312.095,22.794,1409.206440
2456971.51806713,311.777,22.849,1407.155286
2456971.51807870,311.458,22.903,1405.138436
2456971.51809028,311.138,22.956,1403.156043
2456971.51810185,310.817,23.008,1401.208256
2456971.51811343,310.494,23.059,1399.295217
2456971.51812500,310.170,23.110,1397.417074
2456971.51813657,309.845,23.160,1395.573972
2456971.51814815,309.520,23.208,1393.766046
2456971.51815972,309.193,23.257,1391.993441
2456971.51817130,308.865,23.304,1390.256288
2456971.51818287,308.535,23.350,1388.554724
2456971.51819444,308.205,23.396,1386.888886
2456971.51820602,307.874,23.440,1385.258897
2456971.51821759,307.542,23.484,1383.664892
2456971.51822917,307.209,23.527,1382.106992
2456971.51824074,306.875,23.568,1380.585325
2456971.51825231,306.540,23.609,1379.100008
2456971.51826389,306.204,23.649,1377.651165
2456971.51827546,305.867,23.688,1376.238906
2456971.51828704,305.529,23.727,1374.863352
2456971.51829861,305.190,23.764,1373.524609
2456971.51831019,304.851,23.800,1372.222791
2456971.51832176,304.510,23.835,1370.957999
2456971.51833333,304.169,23.869,1369.730342
2456971.51834491,303.827,23.902,1368.539918
2456971.51835648,303.484,23.935,1367.386823
2456971.51836806,303.141,23.966,1366.271159
2456971.51837963,302.797,23.996,1365.193014
2456971.51839120,302.452,24.025,1364.152476
2456971.51840278,302.106,24.053,1363.149638
2456971.51841435,301.760,24.080,1362.184581
2456971.51842593,301.413,24.106,1361.257384
2456971.51843750,301.066,24.131,1360.368129
2456971.51844907,300.718,24.155,1359.516890
2456971.51846065,300.369,24.178,1358.703735
2456971.51847222,300.020,24.199,1357.928740
2456971.51848380,299.670,24.220,1357.191967
2456971.51849537,299.320,24.240,1356.493479
2456971.51850694,298.970,24.258,1355.833333
2456971.51851852,298.618,24.276,1355.211591
2456971.51853009,298.267,24.292,1354.628304
2456971.51854167,297.915,24.307,1354.083521
2456971.51855324,297.563,24.321,1353.577289
2456971.51856481,297.211,24.334,1353.109650
2456971.51857639,296.858,24.346,1352.680648
2456971.51858796,296.505,24.357,1352.290318
2456971.51859954,296.151,24.366,1351.938693
2456971.51861111,295.798,24.375,1351.625805
2456971.51862269,295.444,24.382,1351.351678
2456971.51863426,295.090,24.389,1351.116338
2456971.51864583,294.736,24.394,1350.919805
2456971.51865741,294.382,24.398,1350.762094
2456971.51866898,294.027,24.401,1350.643220
2456971.51868056,293.673,24.402,1350.563189
2456971.51869213,293.319,24.403,1350.522015
2456971.51870370,292.964,24.402,1350.519697
2456971.51871528,292.610,24.401,1350.556235
2456971.51872685,292.255,24.398,1350.631626
2456971.51873843,291.901,24.394,1350.745865
2456971.51875000,291.547,24.389,1350.898937
2456971.51876157,291.193,24.383,1351.090830
2456971.51877315,290.839,24.375,1351.321527
2456971.51878472,290.485,24.367,1351.591009
2456971.51879630,290.132,24.358,1351.899250
2456971.51880787,289.778,24.347,1352.246224
2456971.51881944,289.425,24.335,1352.631899
2456971.51883102,289.072,24.322,1353.056243
2456971.51884259,288.720,24.308,1353.519218
2456971.51885417,288.368,24.293,1354.020786
2456971.51886574,288.016,24.277,1354.560898
2456971.51887731,287.665,24.259,1355.139509
2456971.51888889,287.314,24.241,1355.756569
2456971.51890046,286.963,24.222,1356.412024
2456971.51891204,286.613,24.201,1357.105821
2456971.51892361,286.263,24.179,1357.837893
2456971.51893519,285.914,24.157,1358.608181
2456971.51894676,285.566,24.133,1359.416618
2456971.51895833,285.218,24.108,1360.263137
2456971.51896991,284.870,24.082,1361.147662
2456971.51898148,284.523,24.055,1362.070118
2456971.51899306,284.177,24.027,1363.030427
2456971.51900463,283.832,23.998,1364.028511
2456971.51901620,283.487,23.968,1365.064280
2456971.51902778,283.143,23.936,1366.137649
2456971.51903935,282.799,23.904,1367.248531
2456971.51905093,282.457,23.871,1368.396826
2456971.51906250,282.115,23.837,1369.582446
2456971.51907407,281.774,23.802,1370.805285
2456971.51908565,281.434,23.766,1372.065244
2456971.51909722,281.094,23.728,1373.362224
2456971.51910880,280.755,23.690,1374.696111
2456971.51912037,280.418,23.651,1376.066802
2456971.51913194,280.081,23.611,1377.474179
2456971.51914352,279.745,23.570,1378.918134
2456971.51915509,279.410,23.528,1380.398543
2456971.51916667,279.076,23.486,1381.915294
2456971.51917824,278.743,23.442,1383.468258
2456971.51918981,278.411,23.397,1385.057318
2456971.51920139,278.080,23.352,1386.682342
2456971.51921296,277.750,23.305,1388.343206
2456971.51922454,277.421,23.258,1390.039774
2456971.51923611,277.093,23.210,1391.771918
2456971.51924769,276.766,23.161,1393.539502
2456971.51925926,276.440,23.111,1395.342384
2456971.51927083,276.115,23.060,1397.180432
2456971.51928241,275.792,23.009,1399.053497
2456971.51929398,275.469,22.957,1400.961444
2456971.51930556,275.148,22.904,1402.904124
2456971.51931713,274.828,22.850,1404.881388
2456971.51932870,274.509,22.795,1406.893092
2456971.51934028,274.191,22.740,1408.939084
2456971.51935185,273.874,22.683,1411.019209
2456971.51936343,273.559,22.626,1413.133318
2456971.51937500,273.245,22.569,1415.281255
2456971.51938657,272.932,22.510,1417.462858
2456971.51939815,272.620,22.451,1419.677976
2456971.51940972,272.310,22.391,1421.926447
2456971.51942130,272.000,22.331,1424.208109
2456971.51943287,271.692,22.270,1426.522796
2456971.51944444,271.386,22.208,1428.870352
2456971.51945602,271.081,22.145,1431.250608
2456971.51946759,270.777,22.082,1433.663398
2456971.51947917,270.474,22.018,1436.108556
2456971.51949074,270.172,21.954,1438.585909
2456971.51950231,269.872,21.889,1441.095294
2456971.51951389,269.574,21.823,1443.636538
2456971.51952546,269.276,21.757,1446.209469
2456971.51953704,268.980,21.690,1448.813916
2456971.51954861,268.686,21.623,1451.449705
2456971.51956019,268.392,21.555,1454.116662
2456971.51957176,268.100,21.486,1456.814610
2456971.51958333,267.810,21.417,1459.543378
2456971.51959491,267.521,21.348,1462.302789
2456971.51960648,267.233,21.278,1465.092664
2456971.51961806,266.946,21.207,1467.912827
2456971.51962963,266.661,21.136,1470.763100
2456971.51964120,266.378,21.064,1473.643304
2456971.51965278,266.096,20.992,1476.553260
2456971.51966435,265.815,20.920,1479.492789
2456971.51967593,265.535,20.847,1482.461711
2456971.51968750,265.257,20.774,1485.459846
