"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.86737269,52.229,2.298,2699.835467
2456971.86738426,52.368,2.332,2696.270901
2456971.86739583,52.507,2.366,2692.719014
2456971.86740741,52.647,2.400,2689.179863
2456971.86741898,52.787,2.435,2685.653501
2456971.86743056,52.928,2.469,2682.139986
2456971.86744213,53.068,2.503,2678.639374
2456971.86745370,53.209,2.537,2675.151717
2456971.86746528,53.351,2.570,2671.677073
2456971.86747685,53.493,2.604,2668.215498
2456971.86748843,53.635,2.638,2664.767046
2456971.86750000,53.778,2.671,2661.331776
2456971.86751157,53.921,2.705,2657.909744
2456971.86752315,54.064,2.738,2654.501003
2456971.86753472,54.208,2.772,2651.105610
2456971.86754630,54.352,2.805,2647.723622
2456971.86755787,54.496,2.838,2644.355096
2456971.86756944,54.641,2.871,2641.000088
2456971.86758102,54.786,2.904,2637.658653
2456971.86759259,54.932,2.937,2634.330849
2456971.86760417,55.078,2.970,2631.016736
2456971.86761574,55.224,3.002,2627.716363
2456971.86762731,55.371,3.035,2624.429790
2456971.86763889,55.518,3.067,2621.157075
2456971.86765046,55.665,3.100,2617.898274
2456971.86766204,55.813,3.132,2614.653443
2456971.86767361,55.961,3.164,2611.422640
2456971.86768519,56.109,3.196,2608.205921
2456971.86769676,56.258,3.228,2605.003343
2456971.86770833,56.407,3.260,2601.814964
2456971.86771991,56.557,3.292,2598.640839
2456971.86773148,56.707,3.324,2595.481026
2456971.86774306,56.857,3.355,2592.335583
2456971.86775463,57.008,3.387,2589.204565
2456971.86776620,57.159,3.418,2586.088033
2456971.86777778,57.310,3.450,2582.986038
2456971.86778935,57.462,3.481,2579.898641
2456971.86780093,57.614,3.512,2576.825897
2456971.86781250,57.767,3.543,2573.767865
2456971.86782407,57.920,3.574,2570.724600
2456971.86783565,58.073,3.604,2567.696161
2456971.86784722,58.226,3.635,2564.682604
2456971.86785880,58.380,3.665,2561.683986
2456971.86787037,58.535,3.696,2558.700365
2456971.86788194,58.689,3.726,2555.731797
2456971.86789352,58.844,3.756,2552.778338
2456971.86790509,59.000,3.786,2549.840047
2456971.86791667,59.156,3.816,2546.916980
2456971.86792824,59.312,3.846,2544.009194
2456971.86793981,59.468,3.876,2541.116745
2456971.86795139,59.625,3.905,2538.239691
2456971.86796296,59.782,3.934,2535.378085
2456971.86797454,59.940,3.964,2532.531990
2456971.86798611,60.098,3.993,2529.701460
2456971.86799769,60.256,4.022,2526.886550
2456971.86800926,60.415,4.051,2524.087319
2456971.86802083,60.573,4.080,2521.303822
2456971.86803241,60.733,4.108,2518.536115
2456971.86804398,60.893,4.137,2515.784255
2456971.86805556,61.053,4.165,2513.048299
2456971.86806713,61.213,4.193,2510.328302
2456971.86807870,61.374,4.222,2507.624320
2456971.86809028,61.535,4.249,2504.936410
2456971.86810185,61.696,4.277,2502.264628
2456971.86811343,61.858,4.305,2499.609025
2456971.86812500,62.020,4.333,2496.969665
2456971.86813657,62.183,4.360,2494.346600
2456971.86814815,62.345,4.387,2491.739884
2456971.86815972,62.509,4.414,2489.149575
2456971.86817130,62.672,4.441,2486.575726
2456971.86818287,62.836,4.468,2484.018393
2456971.86819444,63.000,4.495,2481.477632
2456971.86820602,63.165,4.521,2478.953494
2456971.86821759,63.330,4.548,2476.446039
2456971.86822917,63.495,4.574,2473.955321
2456971.86824074,63.660,4.600,2471.481392
2456971.86825231,63.826,4.626,2469.024308
2456971.86826389,63.993,4.652,2466.584122
2456971.86827546,64.159,4.678,2464.160887
2456971.86828704,64.326,4.703,2461.754661
2456971.86829861,64.493,4.728,2459.365495
2456971.86831019,64.661,4.753,2456.993444
2456971.86832176,64.829,4.778,2454.638560
2456971.86833333,64.997,4.803,2452.300893
2456971.86834491,65.165,4.828,2449.980504
2456971.86835648,65.334,4.853,2447.677441
2456971.86836806,65.504,4.877,2445.391757
2456971.86837963,65.673,4.901,2443.123502
2456971.86839120,65.843,4.925,2440.872734
2456971.86840278,66.013,4.949,2438.639502
2456971.86841435,66.183,4.973,2436.423859
2456971.86842593,66.354,4.996,2434.225851
2456971.86843750,66.525,5.019,2432.045538
2456971.86844907,66.697,5.043,2429.882967
2456971.86846065,66.868,5.066,2427.738190
2456971.86847222,67.040,5.088,2425.611253
2456971.86848380,67.213,5.111,2423.502214
2456971.86849537,67.385,5.134,2421.411120
2456971.86850694,67.558,5.156,2419.338017
2456971.86851852,67.732,5.178,2417.282962
2456971.86853009,67.905,5.200,2415.246001
2456971.86854167,68.079,5.222,2413.227180
2456971.86855324,68.253,5.243,2411.226555
2456971.86856481,68.428,5.265,2409.244171
2456971.86857639,68.602,5.286,2407.280073
2456971.86858796,68.777,5.307,2405.334316
2456971.86859954,68.953,5.328,2403.406944
2456971.86861111,69.128,5.348,2401.498002
2456971.86862269,69.304,5.369,2399.607543
2456971.86863426,69.480,5.389,2397.735612
2456971.86864583,69.657,5.409,2395.882252
2456971.86865741,69.833,5.429,2394.047515
2456971.86866898,70.010,5.449,2392.231441
2456971.86868056,70.188,5.468,2390.434082
2456971.86869213,70.365,5.488,2388.655481
2456971.86870370,70.543,5.507,2386.895679
2456971.86871528,70.721,5.526,2385.154728
2456971.86872685,70.899,5.544,2383.432665
2456971.86873843,71.078,5.563,2381.729542
2456971.86875000,71.257,5.581,2380.045394
2456971.86876157,71.436,5.599,2378.380273
2456971.86877315,71.615,5.617,2376.734217
2456971.86878472,71.795,5.635,2375.107266
2456971.86879630,71.975,5.653,2373.499470
2456971.86880787,72.155,5.670,2371.910863
2456971.86881944,72.335,5.687,2370.341493
2456971.86883102,72.516,5.704,2368.791395
2456971.86884259,72.697,5.721,2367.260616
2456971.86885417,72.878,5.737,2365.749191
2456971.86886574,73.059,5.753,2364.257165
2456971.86887731,73.241,5.769,2362.784572
2456971.86888889,73.423,5.785,2361.331457
2456971.86890046,73.605,5.801,2359.897852
2456971.86891204,73.787,5.816,2358.483803
2456971.86892361,73.970,5.831,2357.089341
2456971.86893519,74.152,5.846,2355.714510
2456971.86894676,74.335,5.861,2354.359340
2456971.86895833,74.518,5.876,2353.023875
2456971.86896991,74.702,5.890,2351.708143
2456971.86898148,74.885,5.904,2350.412185
2456971.86899306,75.069,5.918,2349.136039
2456971.86900463,75.253,5.932,2347.879733
2456971.86901620,75.437,5.945,2346.643309
2456971.86902778,75.622,5.959,2345.426793
2456971.86903935,75.806,5.972,2344.230225
2456971.86905093,75.991,5.984,2343.053633
2456971.86906250,76.176,5.997,2341.897051
2456971.86907407,76.361,6.009,2340.760516
2456971.86908565,76.546,6.021,2339.644053
2456971.86909722,76.732,6.033,2338.547695
2456971.86910880,76.918,6.045,2337.471477
2456971.86912037,77.103,6.056,2336.415422
2456971.86913194,77.289,6.068,2335.379568
2456971.86914352,77.476,6.079,2334.363935
2456971.86915509,77.662,6.089,2333.368557
2456971.86916667,77.848,6.100,2332.393464
2456971.86917824,78.035,6.110,2331.438679
2456971.86918981,78.222,6.120,2330.504230
2456971.86920139,78.409,6.130,2329.590146
2456971.86921296,78.596,6.140,2328.696455
2456971.86922454,78.783,6.149,2327.823177
2456971.86923611,78.971,6.158,2326.970339
2456971.86924769,79.158,6.167,2326.137970
2456971.86925926,79.346,6.176,2325.326088
2456971.86927083,79.534,6.184,2324.534718
2456971.86928241,79.722,6.192,2323.763885
2456971.86929398,79.910,6.200,2323.013613
2456971.86930556,80.098,6.208,2322.283918
2456971.86931713,80.287,6.215,2321.574825
2456971.86932870,80.475,6.223,2320.886354
2456971.86934028,80.664,6.230,2320.218530
2456971.86935185,80.852,6.236,2319.571364
2456971.86936343,81.041,6.243,2318.944881
2456971.86937500,81.230,6.249,2318.339097
2456971.86938657,81.419,6.255,2317.754032
2456971.86939815,81.608,6.261,2317.189706
2456971.86940972,81.797,6.266,2316.646130
2456971.86942130,81.987,6.272,2316.123322
2456971.86943287,82.176,6.277,2315.621299
2456971.86944444,82.365,6.282,2315.140077
2456971.86945602,82.555,6.286,2314.679672
2456971.86946759,82.744,6.290,2314.240093
2456971.86947917,82.934,6.294,2313.821356
2456971.86949074,83.124,6.298,2313.423474
2456971.86950231,83.314,6.302,2313.046460
2456971.86951389,83.504,6.305,2312.690325
2456971.86952546,83.693,6.308,2312.355081
2456971.86953704,83.883,6.311,2312.040737
2456971.86954861,84.073,6.314,2311.747308
2456971.86956019,84.264,6.316,2311.474796
2456971.86957176,84.454,6.318,2311.223213
2456971.86958333,84.644,6.320,2310.992568
2456971.86959491,84.834,6.322,2310.782868
2456971.86960648,85.024,6.323,2310.594120
2456971.86961806,85.215,6.324,2310.426331
2456971.86962963,85.405,6.325,2310.279506
2456971.86964120,85.595,6.326,2310.153652
2456971.86965278,85.785,6.326,2310.048771
2456971.86966435,85.976,6.326,2309.964870
2456971.86967593,86.166,6.326,2309.901950
2456971.86968750,86.357,6.326,2309.860016
2456971.86969907,86.547,6.325,2309.839069
2456971.86971065,86.737,6.324,2309.839110
2456971.86972222,86.928,6.323,2309.860142
2456971.86973380,87.118,6.322,2309.902165
2456971.86974537,87.308,6.320,2309.965178
2456971.86975694,87.499,6.318,2310.049181
2456971.86976852,87.689,6.316,2310.154173
2456971.86978009,87.879,6.314,2310.280151
2456971.86979167,88.070,6.311,2310.427114
2456971.86980324,88.260,6.309,2310.595057
2456971.86981481,88.450,6.306,2310.783979
2456971.86982639,88.640,6.302,2310.993873
2456971.86983796,88.830,6.299,2311.224736
2456971.86984954,89.021,6.295,2311.476562
2456971.86986111,89.211,6.291,2311.749345
2456971.86987269,89.401,6.286,2312.043079
2456971.86988426,89.591,6.282,2312.357752
2456971.86989583,89.781,6.277,2312.693363
2456971.86990741,89.970,6.272,2313.049902
2456971.86991898,90.160,6.267,2313.427358
2456971.86993056,90.350,6.261,2313.825723
2456971.86994213,90.540,6.255,2314.244986
2456971.86995370,90.729,6.249,2314.685137
2456971.86996528,90.919,6.243,2315.146164
2456971.86997685,91.108,6.237,2315.628051
2456971.86998843,91.297,6.230,2316.130794
2456971.87000000,91.487,6.223,2316.654375
2456971.87001157,91.676,6.216,2317.198782
2456971.87002315,91.865,6.208,2317.763999
2456971.87003472,92.054,6.201,2318.350010
2456971.87004630,92.243,6.193,2318.956804
2456971.87005787,92.431,6.184,2319.584363
2456971.87006944,92.620,6.176,2320.232671
2456971.87008102,92.809,6.167,2320.901709
2456971.87009259,92.997,6.158,2321.591459
2456971.87010417,93.185,6.149,2322.301907
2456971.87011574,93.373,6.140,2323.033032
2456971.87012731,93.562,6.130,2323.784815
2456971.87013889,93.749,6.120,2324.557232
2456971.87015046,93.937,6.110,2325.350270
2456971.87016204,94.125,6.100,2326.163904
2456971.87017361,94.312,6.089,2326.998114
2456971.87018519,94.500,6.079,2327.852873
2456971.87019676,94.687,6.067,2328.728166
2456971.87020833,94.874,6.056,2329.623966
2456971.87021991,95.061,6.045,2330.540248
2456971.87023148,95.248,6.033,2331.476992
2456971.87024306,95.435,6.021,2332.434171
2456971.87025463,95.621,6.009,2333.411757
2456971.87026620,95.807,5.996,2334.409731
2456971.87027778,95.993,5.984,2335.428062
2456971.87028935,96.179,5.971,2336.466722
2456971.87030093,96.365,5.958,2337.525689
2456971.87031250,96.551,5.944,2338.604933
2456971.87032407,96.736,5.931,2339.704421
2456971.87033565,96.922,5.917,2340.824132
2456971.87034722,97.107,5.903,2341.964034
2456971.87035880,97.291,5.889,2343.124093
2456971.87037037,97.476,5.874,2344.304285
2456971.87038194,97.661,5.860,2345.504577
2456971.87039352,97.845,5.845,2346.724935
2456971.87040509,98.029,5.830,2347.965332
2456971.87041667,98.213,5.814,2349.225731
2456971.87042824,98.397,5.799,2350.506106
2456971.87043981,98.580,5.783,2351.806416
2456971.87045139,98.763,5.767,2353.126636
2456971.87046296,98.946,5.751,2354.466728
2456971.87047454,99.129,5.734,2355.826653
2456971.87048611,99.312,5.718,2357.206384
2456971.87049769,99.494,5.701,2358.605880
2456971.87050926,99.677,5.684,2360.025110
2456971.87052083,99.858,5.666,2361.464033
2456971.87053241,100.040,5.649,2362.922617
2456971.87054398,100.222,5.631,2364.400820
2456971.87055556,100.403,5.613,2365.898611
2456971.87056713,100.584,5.595,2367.415946
2456971.87057870,100.765,5.577,2368.952791
2456971.87059028,100.945,5.558,2370.509104
2456971.87060185,101.125,5.540,2372.084850
2456971.87061343,101.306,5.521,2373.679984
2456971.87062500,101.485,5.501,2375.294473
2456971.87063657,101.665,5.482,2376.928269
