"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.73835648,56.140,6.976,2026.944285
2456971.73836806,56.325,7.023,2023.223203
2456971.73837963,56.511,7.069,2019.520281
2456971.73839120,56.698,7.115,2015.835618
2456971.73840278,56.885,7.161,2012.169324
2456971.73841435,57.074,7.207,2008.521504
2456971.73842593,57.263,7.252,2004.892267
2456971.73843750,57.452,7.298,2001.281714
2456971.73844907,57.643,7.343,1997.689954
2456971.73846065,57.834,7.388,1994.117095
2456971.73847222,58.025,7.434,1990.563242
2456971.73848380,58.218,7.479,1987.028504
2456971.73849537,58.411,7.524,1983.512990
2456971.73850694,58.605,7.568,1980.016802
2456971.73851852,58.799,7.613,1976.540052
2456971.73853009,58.995,7.657,1973.082846
2456971.73854167,59.191,7.702,1969.645293
2456971.73855324,59.388,7.746,1966.227500
2456971.73856481,59.585,7.790,1962.829580
2456971.73857639,59.783,7.834,1959.451635
2456971.73858796,59.982,7.877,1956.093775
2456971.73859954,60.182,7.921,1952.756111
2456971.73861111,60.382,7.964,1949.438750
2456971.73862269,60.583,8.007,1946.141800
2456971.73863426,60.785,8.050,1942.865372
2456971.73864583,60.987,8.093,1939.609574
2456971.73865741,61.190,8.136,1936.374514
2456971.73866898,61.394,8.178,1933.160305
2456971.73868056,61.599,8.220,1929.967050
2456971.73869213,61.804,8.263,1926.794861
2456971.73870370,62.010,8.304,1923.643846
2456971.73871528,62.217,8.346,1920.514115
2456971.73872685,62.424,8.388,1917.405777
2456971.73873843,62.632,8.429,1914.318940
2456971.73875000,62.841,8.470,1911.253713
2456971.73876157,63.050,8.511,1908.210206
2456971.73877315,63.261,8.552,1905.188526
2456971.73878472,63.471,8.592,1902.188783
2456971.73879630,63.683,8.633,1899.211085
2456971.73880787,63.895,8.673,1896.255540
2456971.73881944,64.108,8.713,1893.322257
2456971.73883102,64.322,8.752,1890.411344
2456971.73884259,64.536,8.792,1887.522908
2456971.73885417,64.751,8.831,1884.657058
2456971.73886574,64.967,8.870,1881.813901
2456971.73887731,65.184,8.908,1878.993545
2456971.73888889,65.401,8.947,1876.196097
2456971.73890046,65.619,8.985,1873.421663
2456971.73891204,65.837,9.023,1870.670347
2456971.73892361,66.056,9.061,1867.942263
2456971.73893519,66.276,9.098,1865.237512
2456971.73894676,66.497,9.136,1862.556202
2456971.73895833,66.718,9.173,1859.898437
2456971.73896991,66.940,9.209,1857.264323
2456971.73898148,67.162,9.246,1854.653964
2456971.73899306,67.385,9.282,1852.067466
2456971.73900463,67.609,9.318,1849.504932
2456971.73901620,67.834,9.354,1846.966463
2456971.73902778,68.059,9.389,1844.452170
2456971.73903935,68.285,9.424,1841.962151
2456971.73905093,68.511,9.459,1839.496509
2456971.73906250,68.738,9.494,1837.055346
2456971.73907407,68.966,9.528,1834.638762
2456971.73908565,69.194,9.562,1832.246862
2456971.73909722,69.423,9.596,1829.879746
