"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.48494213,9.229,8.207,2220.184422
2456971.48495370,9.215,8.294,2213.386230
2456971.48496528,9.200,8.381,2206.589692
2456971.48497685,9.186,8.469,2199.794830
2456971.48498843,9.171,8.557,2193.001668
2456971.48500000,9.156,8.645,2186.210231
2456971.48501157,9.141,8.734,2179.420542
2456971.48502315,9.126,8.823,2172.632627
2456971.48503472,9.111,8.912,2165.846509
2456971.48504630,9.096,9.002,2159.062215
2456971.48505787,9.080,9.092,2152.279768
2456971.48506944,9.064,9.182,2145.499196
2456971.48508102,9.049,9.273,2138.720525
2456971.48509259,9.033,9.364,2131.943779
2456971.48510417,9.017,9.456,2125.168987
2456971.48511574,9.001,9.548,2118.396174
2456971.48512731,8.984,9.640,2111.625368
2456971.48513889,8.968,9.733,2104.856597
2456971.48515046,8.951,9.826,2098.089888
2456971.48516204,8.935,9.920,2091.325269
2456971.48517361,8.918,10.014,2084.562770
2456971.48518519,8.901,10.108,2077.802419
2456971.48519676,8.884,10.203,2071.044244
2456971.48520833,8.866,10.298,2064.288275
2456971.48521991,8.849,10.394,2057.534544
2456971.48523148,8.831,10.490,2050.783078
2456971.48524306,8.813,10.586,2044.033910
2456971.48525463,8.796,10.683,2037.287069
2456971.48526620,8.777,10.780,2030.542588
2456971.48527778,8.759,10.878,2023.800498
2456971.48528935,8.741,10.976,2017.060831
2456971.48530093,8.722,11.075,2010.323620
2456971.48531250,8.703,11.174,2003.588898
2456971.48532407,8.685,11.274,1996.856697
2456971.48533565,8.666,11.374,1990.127051
2456971.48534722,8.646,11.474,1983.399995
2456971.48535880,8.627,11.575,1976.675564
2456971.48537037,8.607,11.677,1969.953791
2456971.48538194,8.588,11.779,1963.234712
2456971.48539352,8.568,11.881,1956.518364
2456971.48540509,8.547,11.984,1949.804784
2456971.48541667,8.527,12.087,1943.094006
2456971.48542824,8.507,12.191,1936.386068
2456971.48543981,8.486,12.296,1929.681009
2456971.48545139,8.465,12.400,1922.978867
2456971.48546296,8.444,12.506,1916.279679
2456971.48547454,8.423,12.612,1909.583486
2456971.48548611,8.401,12.718,1902.890327
2456971.48549769,8.380,12.825,1896.200242
2456971.48550926,8.358,12.933,1889.513273
2456971.48552083,8.336,13.041,1882.829459
2456971.48553241,8.314,13.150,1876.148843
2456971.48554398,8.291,13.259,1869.471468
2456971.48555556,8.269,13.368,1862.797376
2456971.48556713,8.246,13.479,1856.126610
2456971.48557870,8.223,13.590,1849.459215
2456971.48559028,8.199,13.701,1842.795235
2456971.48560185,8.176,13.813,1836.134716
2456971.48561343,8.152,13.926,1829.477703
2456971.48562500,8.128,14.039,1822.824243
2456971.48563657,8.104,14.153,1816.174383
2456971.48564815,8.079,14.267,1809.528170
2456971.48565972,8.055,14.382,1802.885653
2456971.48567130,8.030,14.498,1796.246881
2456971.48568287,8.005,14.614,1789.611904
2456971.48569444,7.979,14.731,1782.980772
2456971.48570602,7.953,14.848,1776.353535
2456971.48571759,7.928,14.966,1769.730247
2456971.48572917,7.901,15.085,1763.110959
2456971.48574074,7.875,15.204,1756.495724
2456971.48575231,7.848,15.325,1749.884597
2456971.48576389,7.821,15.445,1743.277632
2456971.48577546,7.794,15.567,1736.674885
2456971.48578704,7.767,15.689,1730.076412
2456971.48579861,7.739,15.812,1723.482269
2456971.48581019,7.711,15.935,1716.892515
2456971.48582176,7.683,16.060,1710.307210
2456971.48583333,7.654,16.185,1703.726410
2456971.48584491,7.625,16.310,1697.150179
2456971.48585648,7.596,16.437,1690.578576
2456971.48586806,7.566,16.564,1684.011664
2456971.48587963,7.537,16.692,1677.449505
2456971.48589120,7.507,16.820,1670.892165
2456971.48590278,7.476,16.950,1664.339707
2456971.48591435,7.445,17.080,1657.792198
2456971.48592593,7.414,17.211,1651.249704
2456971.48593750,7.383,17.343,1644.712292
2456971.48594907,7.351,17.475,1638.180033
