"Time (JDate)","Azimuth (deg)","Elevation (deg)","Range (km)"
2456971.69940972,73.629,9.327,2215.365727
2456971.69942130,73.436,9.350,2213.706446
2456971.69943287,73.243,9.372,2212.068857
2456971.69944444,73.050,9.394,2210.453002
2456971.69945602,72.856,9.416,2208.858940
2456971.69946759,72.662,9.438,2207.286712
2456971.69947917,72.468,9.459,2205.736374
2456971.69949074,72.274,9.481,2204.207969
2456971.69950231,72.079,9.501,2202.701550
2456971.69951389,71.884,9.522,2201.217159
2456971.69952546,71.688,9.542,2199.754848
2456971.69953704,71.493,9.562,2198.314658
2456971.69954861,71.297,9.582,2196.896640
2456971.69956019,71.101,9.601,2195.500834
2456971.69957176,70.904,9.620,2194.127290
2456971.69958333,70.707,9.639,2192.776045
2456971.69959491,70.510,9.658,2191.447150
2456971.69960648,70.313,9.676,2190.140640
2456971.69961806,70.116,9.694,2188.856561
2456971.69962963,69.918,9.712,2187.594958
2456971.69964120,69.720,9.729,2186.355864
2456971.69965278,69.521,9.746,2185.139327
2456971.69966435,69.323,9.763,2183.945380
2456971.69967593,69.124,9.780,2182.774068
2456971.69968750,68.925,9.796,2181.625423
2456971.69969907,68.726,9.812,2180.499485
2456971.69971065,68.526,9.827,2179.396296
2456971.69972222,68.327,9.843,2178.315884
2456971.69973380,68.127,9.858,2177.258288
2456971.69974537,67.927,9.872,2176.223548
2456971.69975694,67.726,9.887,2175.211690
2456971.69976852,67.526,9.901,2174.222752
2456971.69978009,67.325,9.915,2173.256769
2456971.69979167,67.124,9.928,2172.313767
2456971.69980324,66.923,9.942,2171.393781
2456971.69981481,66.722,9.954,2170.496846
2456971.69982639,66.520,9.967,2169.622984
2456971.69983796,66.319,9.979,2168.772228
2456971.69984954,66.117,9.991,2167.944610
2456971.69986111,65.915,10.003,2167.140153
2456971.69987269,65.713,10.014,2166.358885
2456971.69988426,65.510,10.025,2165.600833
2456971.69989583,65.308,10.036,2164.866027
2456971.69990741,65.105,10.046,2164.154485
2456971.69991898,64.902,10.056,2163.466234
2456971.69993056,64.699,10.066,2162.801298
2456971.69994213,64.496,10.075,2162.159700
2456971.69995370,64.293,10.085,2161.541464
2456971.69996528,64.090,10.093,2160.946606
2456971.69997685,63.886,10.102,2160.375149
2456971.69998843,63.683,10.110,2159.827114
2456971.70000000,63.479,10.118,2159.302518
2456971.70001157,63.275,10.125,2158.801383
2456971.70002315,63.071,10.132,2158.323720
2456971.70003472,62.867,10.139,2157.869550
2456971.70004630,62.663,10.146,2157.438887
2456971.70005787,62.459,10.152,2157.031747
2456971.70006944,62.255,10.158,2156.648144
2456971.70008102,62.051,10.163,2156.288091
2456971.70009259,61.846,10.169,2155.951605
2456971.70010417,61.642,10.173,2155.638691
2456971.70011574,61.437,10.178,2155.349362
2456971.70012731,61.233,10.182,2155.083630
2456971.70013889,61.028,10.186,2154.841504
2456971.70015046,60.823,10.190,2154.622992
2456971.70016204,60.619,10.193,2154.428103
2456971.70017361,60.414,10.196,2154.256843
2456971.70018519,60.209,10.199,2154.109219
2456971.70019676,60.004,10.201,2153.985236
2456971.70020833,59.799,10.203,2153.884899
2456971.70021991,59.594,10.204,2153.808211
2456971.70023148,59.389,10.206,2153.755176
2456971.70024306,59.184,10.207,2153.725797
2456971.70025463,58.980,10.207,2153.720073
2456971.70026620,58.775,10.207,2153.738007
2456971.70027778,58.570,10.207,2153.779597
2456971.70028935,58.365,10.207,2153.844844
2456971.70030093,58.160,10.206,2153.933744
2456971.70031250,57.955,10.205,2154.046296
2456971.70032407,57.750,10.204,2154.182496
2456971.70033565,57.545,10.202,2154.342340
2456971.70034722,57.341,10.200,2154.525823
2456971.70035880,57.136,10.198,2154.732939
2456971.70037037,56.931,10.195,2154.963681
2456971.70038194,56.727,10.192,2155.218042
2456971.70039352,56.522,10.189,2155.496013
2456971.70040509,56.317,10.185,2155.797587
2456971.70041667,56.113,10.181,2156.122752
2456971.70042824,55.909,10.177,2156.471498
2456971.70043981,55.704,10.172,2156.843812
2456971.70045139,55.500,10.167,2157.239686
2456971.70046296,55.296,10.162,2157.659104
2456971.70047454,55.092,10.156,2158.102053
2456971.70048611,54.888,10.150,2158.568518
2456971.70049769,54.684,10.144,2159.058484
2456971.70050926,54.480,10.138,2159.571935
2456971.70052083,54.277,10.131,2160.108851
2456971.70053241,54.073,10.123,2160.669219
2456971.70054398,53.870,10.116,2161.253019
2456971.70055556,53.666,10.108,2161.860232
2456971.70056713,53.463,10.100,2162.490836
2456971.70057870,53.260,10.091,2163.144810
2456971.70059028,53.057,10.082,2163.822136
2456971.70060185,52.855,10.073,2164.522789
2456971.70061343,52.652,10.064,2165.246748
2456971.70062500,52.450,10.054,2165.993984
2456971.70063657,52.247,10.044,2166.764480
2456971.70064815,52.045,10.033,2167.558206
2456971.70065972,51.843,10.023,2168.375138
2456971.70067130,51.641,10.012,2169.215245
2456971.70068287,51.440,10.000,2170.078505
2456971.70069444,51.238,9.988,2170.964888
2456971.70070602,51.037,9.976,2171.874361
2456971.70071759,50.836,9.964,2172.806901
2456971.70072917,50.635,9.952,2173.762475
2456971.70074074,50.435,9.939,2174.741051
2456971.70075231,50.234,9.925,2175.742596
2456971.70076389,50.034,9.912,2176.767081
2456971.70077546,49.834,9.898,2177.814471
2456971.70078704,49.634,9.884,2178.884729
2456971.70079861,49.434,9.869,2179.977827
2456971.70081019,49.235,9.855,2181.093724
2456971.70082176,49.036,9.840,2182.232389
2456971.70083333,48.837,9.824,2183.393783
2456971.70084491,48.638,9.809,2184.577866
2456971.70085648,48.440,9.793,2185.784606
